date,at_open,prev_open,prev_close,O2MC1030,O2MC,O2DC,mrng0925_mean_PCT,mrng1030_mean_PCT,mrng_mean_PCT,aftn_mean_PCT,day_mean_PCT,PTTP_mrng1030,PTTP_mrng,PTTP_aftn,PTTP_day,order_mrng1030,order_mrng,order_aftn,order_day
2016-06-01,225.95,224.8,226.65000000000003,0.0027107767205134382,0.005255587519362817,0.004647045806594556,2.6554547466380393e-05,0.0013934990533796324,0.0023651987902927997,0.0037007047684188953,0.0038651339685862136,0.0039831821199381905,0.006196061075459324,0.00713653463155583,0.00713653463155583,1,1,1,1
2016-06-02,227.00000000000003,225.95,227.00000000000003,0.0001651982378854375,0.00038546255506597906,0.002202643171806167,0.0003722466960352042,-0.00028894223630150726,0.00016556780888731133,0.0008703453262454693,0.0010908660012266822,-0.00302863436123348,-0.00302863436123348,0.00401982378854623,0.004074889867841334,-1,-1,1,1
2016-06-03,228.00000000000003,227.00000000000003,227.50000000000003,0.00021929824561396025,-0.0012061403508772178,-0.0004385964912280452,-0.0007938596491228577,-0.0015618908382066612,-0.0015127923976608637,-0.0013775917065390684,-0.0012518274853802248,-0.0038377192982456134,-0.0038377192982456134,-0.0038377192982456134,-0.0038377192982456134,-1,-1,-1,-1
2016-06-07,228.75000000000003,228.00000000000003,227.90000000000003,0.007431693989070988,0.0085245901639345,0.010710382513661026,0.0030054644808741923,0.005171827565270123,0.006247358834244038,0.007688524590164023,0.008167880995749895,0.007595628415300471,0.008633879781420615,0.00994535519125673,0.011038251366119994,1,1,1,1
2016-06-08,231.35,228.75000000000003,231.2,0.0016209206829480374,0.0018370434406743523,0.007780419278150161,-0.00019018802679914728,0.0002845616310065214,0.0008925869894100085,0.0023023622872338115,0.0032721312978498786,0.0027015344715798574,0.0037281175707802525,0.00853684893019257,0.010319861681435252,1,1,1,1
2016-06-09,233.35,231.35,233.15000000000003,0.003910434968930889,0.0056781658452968375,0.0017141632740519997,0.0020484251124921237,0.004030664476347078,0.004595028926505358,0.0023668763919461916,0.002007567641272439,0.005249625026783899,0.006213841868438164,-0.010392114848939411,-0.010820655667452472,1,1,-1,-1
2016-06-10,233.50000000000003,233.35,233.75000000000003,-0.002034261241969997,-0.002837259100642495,-0.00364025695931475,-0.0018972162740899872,-0.0020764929812039203,-0.002220913633119225,-0.0026643306728959945,-0.002804138818592806,-0.003211991434689507,-0.003211991434689507,-0.003747323340471335,-0.0043897216274091395,-1,-1,-1,-1
2016-06-13,230.6,233.50000000000003,232.65000000000003,-0.009052471812662645,-0.008618820468343379,-0.015177797051170859,-0.003829141370338167,-0.006514406861327723,-0.0073265394622721285,-0.008894944676601147,-0.009726219261128141,-0.009919774501301054,-0.009919774501301054,-0.013063746747614869,-0.015665654813530095,-1,-1,-1,-1
2016-06-14,226.90000000000003,230.6,227.1,-0.0031952401939181253,-0.0023137946231821683,-0.002203613926840017,0.0012296165711765884,-0.00041623818618109813,-0.0012061113559571834,-0.0016490377552519496,-0.0016724650649288957,-0.00765755839576911,-0.00765755839576911,-0.00765755839576911,-0.00765755839576911,-1,-1,-1,-1
2016-06-15,225.95,226.90000000000003,226.40000000000003,-0.0012170834255363968,0.0028214206682895203,0.0024341668510734224,0.0014649258685551923,0.00042597919893793383,0.0007734011949547125,0.0020370221354952833,0.0020003922830875744,-0.006527992918787318,0.006915246736003541,0.00824297410931602,0.00824297410931602,-1,1,1,1
2016-06-16,226.45,225.95,226.50000000000003,-0.003422389048354945,-0.005851181276219741,-0.0090527710311325,-0.0012298520644733043,-0.001759647702460633,-0.003087878118789923,-0.006124838582334671,-0.006671790771481505,-0.004912784279090106,-0.007231176860233872,-0.013413557076617205,-0.013413557076617205,-1,-1,-1,-1
